year,agency_code,ach_score,eg_score,books,media_school,devices,device_access,act_per1000,bha_per1000,total_funds,total_ppe,he_pct,music_cat,theatre_cat,poverty,number_of_teachers,pct_met
2019,90333,49.4,81.3,22.06,2003,0.71,Yes,0,0,2954743,6354.29,0.22857143,Y,N,HIGH,37,10
2019,90352,43.2,79.1,50.94,1997,0.68,No,0,0,1008149,6632.57,0,Y,N,HIGH,14,0
2019,90365,45.8,62.8,23.84,2002,0.81,Yes,0,20.115,1634464,4696.74,0.411764711,Y,N,HIGH,19,0
2019,90368,64.4,77,8,1985,0.75,Yes,7.3421,5.874,3800612,5580.93,0.200000003,Y,N,NEITHER,51,73.3
2019,90376,54.5,71.2,0,0,1.04,Yes,0,0,473621,9665.77,0,,,HIGH,5,
2019,09A000,27.3,80.5,0,0,4.12,No,5.9172,0,,,1,Y,N,HIGH,21,0
2019,09B000,58.2,80.6,0.22,0,8.86,No,4.4248,4.425,,,0.448275864,Y,N,HIGH,31,16.7
2019,100302,66.5,82.6,16.75,1999,0.86,No,1.1655,0,5033979,5867.11,0.196428567,Y,N,NEITHER,69,11.8
2019,100304,69.3,90.3,24.42,2002,0.62,No,0,2.375,2759181,6553.88,0.193548381,Y,N,NEITHER,42,0
2019,100307,99.1,92.2,1.55,2003,1.33,Yes,0,0,1546790,4169.25,0.5,Y,N,LOW,14,33.3
2019,100308,0,0,66.82,2003,0.32,No,11.9048,59.524,1359017,16178.79,0,N,N,HIGH,22,100
2019,100309,53.7,87.3,24.72,2007,1.44,No,19.802,17.822,3367122,6667.57,0.14705883,Y,N,NEITHER,42,50
2019,100310,53.2,61.5,32.39,2002,0.74,Yes,0,2.193,2785876,6109.38,0.029411765,Y,N,HIGH,42,40
2019,100316,54.4,51.8,14.69,2006,1.54,No,2.1299,4.26,4807810,5120.14,0.053571429,Y,N,NEITHER,63,18.8
2019,100320,49.2,87.4,35.25,1998,0.68,No,1.6807,0,3510588,5900.15,0.113636367,Y,N,HIGH,48,13.3
