Time,GeoType,GeoID,GeoRank,Geography,Number,Percent
2014-18,UHF42,501,4,Port Richmond,13943,20.76
2014-18,UHF42,502,4,Stapleton - St. George,22406,18.94
2014-18,UHF42,503,4,Willowbrook,8558,9.55
2014-18,UHF42,504,4,South Beach - Tottenville,15119,7.84
2014-18,Borough,1,1,Bronx,407528,29.05
2014-18,Borough,2,1,Brooklyn,544622,21.14
2014-18,Borough,3,1,Manhattan,263413,16.61
2014-18,Borough,4,1,Queens,295165,12.99
2014-18,Borough,5,1,Staten Island,60026,12.82
2014-18,Citywide,1,0,New York City,1570754,18.91
2013-17,UHF42,101,4,Kingsbridge - Riverdale,13553,15.19
2013-17,UHF42,102,4,Northeast Bronx,29802,14.87
2013-17,UHF42,103,4,Fordham - Bronx Pk,84650,32.56
2013-17,UHF42,104,4,Pelham - Throgs Neck,69887,22.84
2013-17,UHF42,105,4,Crotona -Tremont,84689,39.31
2013-17,UHF42,106,4,High Bridge - Morrisania,84430,38.67
2013-17,UHF42,107,4,Hunts Point - Mott Haven,58154,41.37
2013-17,UHF42,201,4,Greenpoint,31423,22.79
2013-17,UHF42,202,4,Downtown - Heights - Slope,37440,15.02
2013-17,UHF42,203,4,Bedford Stuyvesant - Crown Heights,86365,25.92
2013-17,UHF42,204,4,East New York,54363,28.56
2013-17,UHF42,205,4,Sunset Park,37927,29.97
2013-17,UHF42,206,4,Borough Park,90719,26.71
2013-17,UHF42,207,4,East Flatbush - Flatbush,51903,17.03
2013-17,UHF42,208,4,Canarsie - Flatlands,25642,12.2
2013-17,UHF42,209,4,Bensonhurst - Bay Ridge,30716,14.9
2013-17,UHF42,210,4,Coney Island - Sheepshead Bay,56078,19.31
2013-17,UHF42,211,4,Williamsburg - Bushwick,68155,30.53
2013-17,UHF42,301,4,Washington Heights,64013,23.5
2013-17,UHF42,302,4,Central Harlem - Morningside Heights,50316,28.5
2013-17,UHF42,303,4,East Harlem,38624,34.31
2013-17,UHF42,304,4,Upper West Side,23933,11.22
2013-17,UHF42,305,4,Upper East Side,13689,6.2
2013-17,UHF42,306,4,Chelsea - Clinton,19807,13.15
2013-17,UHF42,307,4,Gramercy Park - Murray Hill,11213,8.81
2013-17,UHF42,308,4,Greenwich Village - SoHo,8043,9.74
2013-17,UHF42,309,4,Union Square - Lower East Side,39009,21.35
2013-17,UHF42,310,4,Lower Manhattan,5866,10.09
2013-17,UHF42,401,4,Long Island City - Astoria,30384,14.61
2013-17,UHF42,402,4,West Queens,74078,16.08
2013-17,UHF42,403,4,Flushing - Clearview,41147,15.86
2013-17,UHF42,404,4,Bayside - Little Neck,7753,8.6
2013-17,UHF42,405,4,Ridgewood - Forest Hills,29049,11.2
2013-17,UHF42,406,4,Fresh Meadows,13572,13.3
2013-17,UHF42,407,4,Southwest Queens,39546,13.52
2013-17,UHF42,408,4,Jamaica,42024,13.46
2013-17,UHF42,409,4,Southeast Queens,18547,6.78
2013-17,UHF42,410,4,Rockaways,23109,19.48
2013-17,UHF42,501,4,Port Richmond,15022,22.13
2013-17,UHF42,502,4,Stapleton - St. George,22406,18.67
2013-17,UHF42,503,4,Willowbrook,8506,9.57
2013-17,UHF42,504,4,South Beach - Tottenville,14801,7.65
2013-17,Borough,1,1,Bronx,422197,29.73
2013-17,Borough,2,1,Brooklyn,570731,21.85
2013-17,Borough,3,1,Manhattan,277483,17.27
2013-17,Borough,4,1,Queens,317142,13.71
2013-17,Borough,5,1,Staten Island,60735,12.92
2013-17,Citywide,1,0,New York City,1648288,19.57
2012-16,UHF42,101,4,Kingsbridge - Riverdale,14265,16.26
2012-16,UHF42,102,4,Northeast Bronx,30701,15.53
2012-16,UHF42,103,4,Fordham - Bronx Pk,83367,32.71
2012-16,UHF42,104,4,Pelham - Throgs Neck,71485,23.47
2012-16,UHF42,105,4,Crotona -Tremont,87581,41.42
2012-16,UHF42,106,4,High Bridge - Morrisania,83918,39.28
2012-16,UHF42,107,4,Hunts Point - Mott Haven,59251,42.21
2012-16,UHF42,201,4,Greenpoint,33192,24.55
2012-16,UHF42,202,4,Downtown - Heights - Slope,38733,15.9
2012-16,UHF42,203,4,Bedford Stuyvesant - Crown Heights,87306,26.45
2012-16,UHF42,204,4,East New York,56000,29.82
2012-16,UHF42,205,4,Sunset Park,41333,32.37
2012-16,UHF42,206,4,Borough Park,92085,27.25
2012-16,UHF42,207,4,East Flatbush - Flatbush,54119,17.76
2012-16,UHF42,208,4,Canarsie - Flatlands,26268,12.69
2012-16,UHF42,209,4,Bensonhurst - Bay Ridge,31647,15.43
2012-16,UHF42,210,4,Coney Island - Sheepshead Bay,56718,20.05
2012-16,UHF42,211,4,Williamsburg - Bushwick,70117,31.49
2012-16,UHF42,301,4,Washington Heights,67084,25
2012-16,UHF42,302,4,Central Harlem - Morningside Heights,51919,29.95
2012-16,UHF42,303,4,East Harlem,37230,33.82
2012-16,UHF42,304,4,Upper West Side,23848,11.23
2012-16,UHF42,305,4,Upper East Side,14667,6.67
2012-16,UHF42,306,4,Chelsea - Clinton,18111,12.35
2012-16,UHF42,307,4,Gramercy Park - Murray Hill,11131,8.86
2012-16,UHF42,308,4,Greenwich Village - SoHo,7100,8.8
2012-16,UHF42,309,4,Union Square - Lower East Side,39683,21.55
2012-16,UHF42,310,4,Lower Manhattan,6218,10.85
2012-16,UHF42,401,4,Long Island City - Astoria,31974,15.53
2012-16,UHF42,402,4,West Queens,82514,17.97
2012-16,UHF42,403,4,Flushing - Clearview,41130,15.93
2012-16,UHF42,404,4,Bayside - Little Neck,7010,7.83
2012-16,UHF42,405,4,Ridgewood - Forest Hills,31191,12.35
2012-16,UHF42,406,4,Fresh Meadows,13598,13.6
2012-16,UHF42,407,4,Southwest Queens,41930,14.42
2012-16,UHF42,408,4,Jamaica,45282,14.81
2012-16,UHF42,409,4,Southeast Queens,18949,7.07
2012-16,UHF42,410,4,Rockaways,22440,19.16
2012-16,UHF42,501,4,Port Richmond,14591,21.97
2012-16,UHF42,502,4,Stapleton - St. George,22706,18.99
2012-16,UHF42,503,4,Willowbrook,8225,9.39
2012-16,UHF42,504,4,South Beach - Tottenville,15008,7.73
2012-16,Borough,1,1,Bronx,427715,30.53
2012-16,Borough,2,1,Brooklyn,587518,22.73
2012-16,Borough,3,1,Manhattan,279847,17.62
