Time,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate (Females) per 100,000","Age-adjusted rate (Males) per 100,000","Age-adjusted rate per 100,000",Average annual number,Average annual number (Females),Average annual number (Males),Type
2011-2015,Borough,1,1,Bronx,15.9,24,19.2,260.8,124.6,136.2,Non-Hodgkin's Lymphomas
2011-2015,Borough,2,1,Brooklyn,16.3,23.1,19.3,500.2,241.6,258.6,Non-Hodgkin's Lymphomas
2011-2015,Borough,3,1,Manhattan,18,28.1,22.5,401.2,182.2,219,Non-Hodgkin's Lymphomas
2011-2015,Borough,4,1,Queens,15.5,23.3,18.9,473.8,219.6,254.2,Non-Hodgkin's Lymphomas
2011-2015,Borough,5,1,Staten Island,20.5,28.9,24.1,128.4,60.6,67.8,Non-Hodgkin's Lymphomas
2011-2015,Citywide,1,0,New York City,16.6,24.7,20.1,1764.4,828.6,935.8,Non-Hodgkin's Lymphomas
2009-2013,Borough,1,1,Bronx,16.7,24.7,20.1,263.6,126.4,137.2,Non-Hodgkin's Lymphomas
2009-2013,Borough,2,1,Brooklyn,16.8,23.3,19.6,491.6,243,248.6,Non-Hodgkin's Lymphomas
2009-2013,Borough,3,1,Manhattan,18.2,28.2,22.6,392,179,213,Non-Hodgkin's Lymphomas
2009-2013,Borough,4,1,Queens,15.9,23.2,19.1,464.6,219.4,245.2,Non-Hodgkin's Lymphomas
2009-2013,Borough,5,1,Staten Island,19.8,26.4,22.6,116,56.4,59.6,Non-Hodgkin's Lymphomas
2009-2013,Citywide,1,0,New York City,17,24.7,20.3,1727.8,824.2,903.6,Non-Hodgkin's Lymphomas
2008-2012,Borough,1,1,Bronx,16.4,25.2,20.2,260.4,121.6,138.8,Non-Hodgkin's Lymphomas
2008-2012,Borough,2,1,Brooklyn,16.7,23.7,19.7,487.6,238.4,249.2,Non-Hodgkin's Lymphomas
2008-2012,Borough,3,1,Manhattan,18.3,28.4,22.7,391,178.4,212.6,Non-Hodgkin's Lymphomas
2008-2012,Borough,4,1,Queens,16,22.4,18.8,450.8,217.8,233,Non-Hodgkin's Lymphomas
2008-2012,Borough,5,1,Staten Island,20.7,26.6,23.1,116.2,57.8,58.4,Non-Hodgkin's Lymphomas
2008-2012,Citywide,1,0,New York City,17,24.8,20.4,1706,814,892,Non-Hodgkin's Lymphomas
2007-2011,UHF42,101,4,Kingsbridge - Riverdale,17.7,22.7,20.2,24.6,14,10.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,102,4,Northeast Bronx,13.7,19.4,16.1,35,18,17,Non-Hodgkin's Lymphomas
2007-2011,UHF42,103,4,Fordham - Bronx Pk,17,25.1,20.8,44.2,20.2,24,Non-Hodgkin's Lymphomas
2007-2011,UHF42,104,4,Pelham - Throgs Neck,16.2,26,20.5,63.2,29.4,33.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,105,4,Crotona -Tremont,17.6,24.6,20.8,33.2,15.6,17.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,106,4,High Bridge - Morrisania,18,29.1,22.4,36.6,17,19.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,107,4,Hunts Point - Mott Haven,13.9,22.4,18.2,19.8,8,11.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,201,4,Greenpoint,17.4,15.2,16.8,19.8,11,8.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,202,4,Downtown - Heights - Slope,12.6,22.7,17.2,38.6,16,22.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,203,4,Bedford Stuyvesant - Crown Heights,14.1,21.5,17.4,51.4,24.8,26.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,204,4,East New York,13.7,25.3,18.5,28.8,12.4,16.4,Non-Hodgkin's Lymphomas
2007-2011,UHF42,205,4,Sunset Park,13.6,21.2,16.9,18.4,8,10.4,Non-Hodgkin's Lymphomas
2007-2011,UHF42,206,4,Borough Park,17.1,22.4,19.5,66.8,33.6,33.2,Non-Hodgkin's Lymphomas
2007-2011,UHF42,207,4,East Flatbush - Flatbush,14.1,17.1,15.3,47.4,26,21.4,Non-Hodgkin's Lymphomas
2007-2011,UHF42,208,4,Canarsie - Flatlands,14.4,22.4,17.7,38,18,20,Non-Hodgkin's Lymphomas
2007-2011,UHF42,209,4,Bensonhurst - Bay Ridge,17.3,24.8,20.5,53.8,26.8,27,Non-Hodgkin's Lymphomas
2007-2011,UHF42,210,4,Coney Island - Sheepshead Bay,17.9,25.6,21.3,84.8,42.2,42.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,211,4,Williamsburg - Bushwick,13.6,20.6,16.7,28.4,13.4,15,Non-Hodgkin's Lymphomas
2007-2011,UHF42,301,4,Washington Heights,12,24.3,17.3,44.6,18,26.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,302,4,Central Harlem - Morningside Heights,13.1,22.8,17.4,26.8,11.8,15,Non-Hodgkin's Lymphomas
2007-2011,UHF42,303,4,East Harlem,12.6,21.5,15.9,17.4,7.6,9.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,304,4,Upper West Side,22.9,32,26.7,70.8,34.6,36.2,Non-Hodgkin's Lymphomas
2007-2011,UHF42,305,4,Upper East Side,21.3,32.1,25.8,68.6,32.8,35.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,306,4,Chelsea - Clinton,14.9,31.4,23.3,36.4,12,24.4,Non-Hodgkin's Lymphomas
2007-2011,UHF42,307,4,Gramercy Park - Murray Hill,20,33,25.6,43.4,19.6,23.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,308,4,Greenwich Village - SoHo,20.5,25.1,22.7,21.2,10.4,10.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,309,4,Union Square - Lower East Side,16.8,24.7,20.1,46.4,21.6,24.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,310,4,Lower Manhattan,18.7,31.1,23.6,10.8,4.6,6.2,Non-Hodgkin's Lymphomas
2007-2011,UHF42,401,4,Long Island City - Astoria,14.6,19.4,16.6,37.6,18.4,19.2,Non-Hodgkin's Lymphomas
2007-2011,UHF42,402,4,West Queens,12,18.8,15,68.8,30,38.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,403,4,Flushing - Clearview,16.5,20.9,18.4,61.6,31.6,30,Non-Hodgkin's Lymphomas
2007-2011,UHF42,404,4,Bayside - Little Neck,18,24.6,20.7,26.2,12.8,13.4,Non-Hodgkin's Lymphomas
2007-2011,UHF42,405,4,Ridgewood - Forest Hills,16.1,20.2,17.7,56.2,29.2,27,Non-Hodgkin's Lymphomas
2007-2011,UHF42,406,4,Fresh Meadows,17.4,23.7,20.1,23,11.2,11.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,407,4,Southwest Queens,16.8,21.1,18.7,51.6,25.4,26.2,Non-Hodgkin's Lymphomas
2007-2011,UHF42,408,4,Jamaica,11.2,21.9,15.5,46.4,19,27.4,Non-Hodgkin's Lymphomas
2007-2011,UHF42,409,4,Southeast Queens,15.8,16.7,16,36.4,20.6,15.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,410,4,Rockaways,15.8,22.9,18.6,22.6,11,11.6,Non-Hodgkin's Lymphomas
2007-2011,UHF42,501,4,Port Richmond,20.8,20.6,20.5,13,7.2,5.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,502,4,Stapleton - St. George,16.3,25.2,19.9,27.2,12.4,14.8,Non-Hodgkin's Lymphomas
2007-2011,UHF42,503,4,Willowbrook,16.2,23.1,18.9,20.2,10,10.2,Non-Hodgkin's Lymphomas
2007-2011,UHF42,504,4,South Beach - Tottenville,22.8,26.2,24.2,50.6,25.8,24.8,Non-Hodgkin's Lymphomas
2007-2011,Borough,1,1,Bronx,16.6,24.9,20.3,258.2,121.8,136.4,Non-Hodgkin's Lymphomas
2007-2011,Borough,2,1,Brooklyn,16.6,23.8,19.7,479.6,234.2,245.4,Non-Hodgkin's Lymphomas
2007-2011,Borough,3,1,Manhattan,18.2,29.3,23.1,393,176.8,216.2,Non-Hodgkin's Lymphomas
2007-2011,Borough,4,1,Queens,15.9,21.7,18.3,434.6,213.6,221,Non-Hodgkin's Lymphomas
2007-2011,Borough,5,1,Staten Island,20.4,26.1,22.7,112.2,55.6,56.6,Non-Hodgkin's Lymphomas
2007-2011,Citywide,1,0,New York City,17,24.7,20.3,1677.6,802,875.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,101,4,Kingsbridge - Riverdale,17,27,21.5,25.8,13.2,12.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,102,4,Northeast Bronx,16.9,19.9,18.2,38.8,21.6,17.2,Non-Hodgkin's Lymphomas
2006-2010,UHF42,103,4,Fordham - Bronx Pk,17.1,25.5,20.9,43.8,19.8,24,Non-Hodgkin's Lymphomas
2006-2010,UHF42,104,4,Pelham - Throgs Neck,15.8,26.4,20.4,62.8,28.4,34.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,105,4,Crotona -Tremont,18,22.9,20.2,32.2,16,16.2,Non-Hodgkin's Lymphomas
2006-2010,UHF42,106,4,High Bridge - Morrisania,15,28.4,20.5,33.6,14.2,19.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,107,4,Hunts Point - Mott Haven,14.1,28.8,20.8,22.4,8.2,14.2,Non-Hodgkin's Lymphomas
2006-2010,UHF42,201,4,Greenpoint,16.8,15.6,16.6,19.4,10.8,8.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,202,4,Downtown - Heights - Slope,12.1,22.6,16.8,36.8,15,21.8,Non-Hodgkin's Lymphomas
2006-2010,UHF42,203,4,Bedford Stuyvesant - Crown Heights,13.8,19.6,16.4,48.4,24.2,24.2,Non-Hodgkin's Lymphomas
2006-2010,UHF42,204,4,East New York,12.4,23.7,17,26,11,15,Non-Hodgkin's Lymphomas
2006-2010,UHF42,205,4,Sunset Park,14.5,24.7,18.7,20,8.4,11.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,206,4,Borough Park,17.8,22.5,19.9,67.2,34.6,32.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,207,4,East Flatbush - Flatbush,14.1,17.9,15.6,47.6,25.6,22,Non-Hodgkin's Lymphomas
2006-2010,UHF42,208,4,Canarsie - Flatlands,14.9,20.8,17.2,36.8,18.4,18.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,209,4,Bensonhurst - Bay Ridge,15.4,23.5,19.1,49.8,24.2,25.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,210,4,Coney Island - Sheepshead Bay,16.2,25.1,20.2,79.8,38.4,41.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,211,4,Williamsburg - Bushwick,14.3,21.6,17.5,29.2,13.6,15.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,301,4,Washington Heights,13,24.6,18,46.4,19.4,27,Non-Hodgkin's Lymphomas
2006-2010,UHF42,302,4,Central Harlem - Morningside Heights,12.4,24,17.5,27,11,16,Non-Hodgkin's Lymphomas
2006-2010,UHF42,303,4,East Harlem,13.8,19.6,16,17.6,8.4,9.2,Non-Hodgkin's Lymphomas
2006-2010,UHF42,304,4,Upper West Side,21.4,32.4,26,68.6,32.6,36,Non-Hodgkin's Lymphomas
2006-2010,UHF42,305,4,Upper East Side,21,32.9,25.9,68.4,32,36.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,306,4,Chelsea - Clinton,15.4,31.6,23.7,36.2,12.2,24,Non-Hodgkin's Lymphomas
2006-2010,UHF42,307,4,Gramercy Park - Murray Hill,20,35.8,26.7,44.6,19.2,25.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,308,4,Greenwich Village - SoHo,18.3,21.8,20.2,18.8,9.2,9.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,309,4,Union Square - Lower East Side,16.5,23.6,19.6,44.8,21.2,23.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,310,4,Lower Manhattan,16.6,27.9,21.1,9.4,4,5.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,401,4,Long Island City - Astoria,15,19.4,17,38,18.6,19.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,402,4,West Queens,12.5,19.7,15.7,70.2,30.6,39.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,403,4,Flushing - Clearview,15.3,21,17.7,58.2,28.6,29.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,404,4,Bayside - Little Neck,18.2,22.6,19.8,25.2,13,12.2,Non-Hodgkin's Lymphomas
2006-2010,UHF42,405,4,Ridgewood - Forest Hills,15.7,19.1,17,54,28.6,25.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,406,4,Fresh Meadows,15.9,24.7,19.7,22,10,12,Non-Hodgkin's Lymphomas
2006-2010,UHF42,407,4,Southwest Queens,17,22.3,19.3,51.8,25.2,26.6,Non-Hodgkin's Lymphomas
2006-2010,UHF42,408,4,Jamaica,10.5,22,15.2,45.2,17.8,27.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,409,4,Southeast Queens,14.7,16.9,15.6,35,19.2,15.8,Non-Hodgkin's Lymphomas
2006-2010,UHF42,410,4,Rockaways,13.7,22.6,17.4,21.2,9.8,11.4,Non-Hodgkin's Lymphomas
2006-2010,UHF42,501,4,Port Richmond,18.3,22.5,20.1,12.4,6.2,6.2,Non-Hodgkin's Lymphomas
2006-2010,UHF42,502,4,Stapleton - St. George,16.8,25.8,20.6,27.4,12.6,14.8,Non-Hodgkin's Lymphomas
2006-2010,UHF42,503,4,Willowbrook,16.1,22.8,18.8,19.6,9.8,9.8,Non-Hodgkin's Lymphomas
2006-2010,UHF42,504,4,South Beach - Tottenville,22.9,29.8,25.7,53,25.6,27.4,Non-Hodgkin's Lymphomas
2006-2010,Borough,1,1,Bronx,16.7,25.8,20.7,260.2,121,139.2,Non-Hodgkin's Lymphomas
2006-2010,Borough,2,1,Brooklyn,16.2,23.3,19.3,463.4,225.6,237.8,Non-Hodgkin's Lymphomas
2006-2010,Borough,3,1,Manhattan,17.9,29.6,23,388,172.8,215.2,Non-Hodgkin's Lymphomas
2006-2010,Borough,4,1,Queens,15.4,21.8,18.1,423,204.8,218.2,Non-Hodgkin's Lymphomas
2006-2010,Borough,5,1,Staten Island,20.2,27.6,23.3,113,54.2,58.8,Non-Hodgkin's Lymphomas
2006-2010,Citywide,1,0,New York City,16.7,24.9,20.2,1647.6,778.4,869.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,101,4,Kingsbridge - Riverdale,15.6,26.8,20.7,25.2,12.6,12.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,102,4,Northeast Bronx,17.5,21.9,19.5,40.4,21.8,18.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,103,4,Fordham - Bronx Pk,18.6,24.3,21.2,43.8,21.6,22.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,104,4,Pelham - Throgs Neck,15.6,25.4,19.8,60,27.4,32.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,105,4,Crotona -Tremont,18.8,23.2,20.8,32.8,16.6,16.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,106,4,High Bridge - Morrisania,15.1,26.4,19.6,32.2,14.4,17.8,Non-Hodgkin's Lymphomas
2005-2009,UHF42,107,4,Hunts Point - Mott Haven,14.9,24.8,19.6,20.6,8.4,12.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,201,4,Greenpoint,17.6,18.1,18.1,20.8,11.2,9.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,202,4,Downtown - Heights - Slope,12.1,22.1,16.3,35.2,14.8,20.4,Non-Hodgkin's Lymphomas
2005-2009,UHF42,203,4,Bedford Stuyvesant - Crown Heights,13.1,20.5,16.2,47,22.6,24.4,Non-Hodgkin's Lymphomas
2005-2009,UHF42,204,4,East New York,13.4,22.2,17.1,25.4,11.4,14,Non-Hodgkin's Lymphomas
2005-2009,UHF42,205,4,Sunset Park,15,26.4,19.6,20.6,8.6,12,Non-Hodgkin's Lymphomas
2005-2009,UHF42,206,4,Borough Park,19,22.4,20.6,68,36,32,Non-Hodgkin's Lymphomas
2005-2009,UHF42,207,4,East Flatbush - Flatbush,14.9,20.7,17.1,52,27,25,Non-Hodgkin's Lymphomas
2005-2009,UHF42,208,4,Canarsie - Flatlands,15.3,23.3,18.5,38.8,18.8,20,Non-Hodgkin's Lymphomas
2005-2009,UHF42,209,4,Bensonhurst - Bay Ridge,16,21.8,18.5,48,24.4,23.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,210,4,Coney Island - Sheepshead Bay,17.7,24.4,20.7,80,40.2,39.8,Non-Hodgkin's Lymphomas
2005-2009,UHF42,211,4,Williamsburg - Bushwick,13.3,22.9,17.2,28.4,12.6,15.8,Non-Hodgkin's Lymphomas
2005-2009,UHF42,301,4,Washington Heights,13.6,24.3,18.4,47.6,20.2,27.4,Non-Hodgkin's Lymphomas
2005-2009,UHF42,302,4,Central Harlem - Morningside Heights,14.8,23.5,18.8,28.8,13.2,15.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,303,4,East Harlem,16.1,20.3,17.8,19.2,9.8,9.4,Non-Hodgkin's Lymphomas
2005-2009,UHF42,304,4,Upper West Side,21.6,33.7,26.7,68.6,31.8,36.8,Non-Hodgkin's Lymphomas
2005-2009,UHF42,305,4,Upper East Side,21.9,32.7,26.4,68.2,32.4,35.8,Non-Hodgkin's Lymphomas
2005-2009,UHF42,306,4,Chelsea - Clinton,16.3,27,22,33,12.6,20.4,Non-Hodgkin's Lymphomas
2005-2009,UHF42,307,4,Gramercy Park - Murray Hill,17.9,37.5,26.3,42.4,16.8,25.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,308,4,Greenwich Village - SoHo,21.3,24.9,23.5,21.8,10.6,11.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,309,4,Union Square - Lower East Side,15.5,24.7,19.7,43.8,19.6,24.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,310,4,Lower Manhattan,15,27.6,20.5,8.2,3.4,4.8,Non-Hodgkin's Lymphomas
2005-2009,UHF42,401,4,Long Island City - Astoria,14.5,20.3,16.9,36.8,17.6,19.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,402,4,West Queens,12.2,20.8,16,70,29.4,40.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,403,4,Flushing - Clearview,16.6,20.4,18,58,30,28,Non-Hodgkin's Lymphomas
2005-2009,UHF42,404,4,Bayside - Little Neck,18.5,22.8,20.1,25.2,13,12.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,405,4,Ridgewood - Forest Hills,17.2,19.7,18.2,57,31.4,25.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,406,4,Fresh Meadows,16,24.1,19.3,21.4,9.8,11.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,407,4,Southwest Queens,16.6,22.7,19.4,50.6,24.2,26.4,Non-Hodgkin's Lymphomas
2005-2009,UHF42,408,4,Jamaica,10.7,21.1,15,44.2,18,26.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,409,4,Southeast Queens,16.1,17.7,16.8,36.8,20.6,16.2,Non-Hodgkin's Lymphomas
2005-2009,UHF42,410,4,Rockaways,16.2,23.1,19,23.2,11.8,11.4,Non-Hodgkin's Lymphomas
2005-2009,UHF42,501,4,Port Richmond,18.7,16.8,17.9,10.8,6.2,4.6,Non-Hodgkin's Lymphomas
2005-2009,UHF42,502,4,Stapleton - St. George,17.8,22.8,19.8,26,13.2,12.8,Non-Hodgkin's Lymphomas
2005-2009,UHF42,503,4,Willowbrook,15.7,24.7,18.9,19.6,9.2,10.4,Non-Hodgkin's Lymphomas
2005-2009,UHF42,504,4,South Beach - Tottenville,23.5,29.9,26.3,53.8,26,27.8,Non-Hodgkin's Lymphomas
2005-2009,Borough,1,1,Bronx,17.2,25,20.6,255.8,122.6,133.2,Non-Hodgkin's Lymphomas
2005-2009,Borough,2,1,Brooklyn,16.5,23.6,19.5,466.6,228,238.6,Non-Hodgkin's Lymphomas
2005-2009,Borough,3,1,Manhattan,18.2,29.5,23.2,386.6,173.8,212.8,Non-Hodgkin's Lymphomas
2005-2009,Borough,4,1,Queens,15.8,21.9,18.3,424.8,208.2,216.6,Non-Hodgkin's Lymphomas
2005-2009,Borough,5,1,Staten Island,20.4,26.7,23,110.6,54.2,56.4,Non-Hodgkin's Lymphomas
2005-2009,Citywide,1,0,New York City,17,24.8,20.4,1644.4,786.8,857.6,Non-Hodgkin's Lymphomas
2004-2008,UHF42,101,4,Kingsbridge - Riverdale,12.5,25.2,18.1,22.2,10.2,12,Non-Hodgkin's Lymphomas
2004-2008,UHF42,102,4,Northeast Bronx,17.6,19.9,18.7,38,21.4,16.6,Non-Hodgkin's Lymphomas
2004-2008,UHF42,103,4,Fordham - Bronx Pk,19,24.6,21.6,43.8,21.6,22.2,Non-Hodgkin's Lymphomas
2004-2008,UHF42,104,4,Pelham - Throgs Neck,15.7,25.2,19.8,58.8,27.4,31.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,105,4,Crotona -Tremont,19.6,24.1,21.7,33.2,16.8,16.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,106,4,High Bridge - Morrisania,15.4,26.3,20,31.8,14.2,17.6,Non-Hodgkin's Lymphomas
2004-2008,UHF42,107,4,Hunts Point - Mott Haven,11.8,26.9,18.4,19.4,6.8,12.6,Non-Hodgkin's Lymphomas
2004-2008,UHF42,201,4,Greenpoint,14.8,16.8,16,18.2,9.4,8.8,Non-Hodgkin's Lymphomas
2004-2008,UHF42,202,4,Downtown - Heights - Slope,13.2,20.5,16.2,34,15.6,18.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,203,4,Bedford Stuyvesant - Crown Heights,12.6,19.4,15.4,43.8,21.4,22.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,204,4,East New York,14.8,21.9,17.7,25.6,12.4,13.2,Non-Hodgkin's Lymphomas
2004-2008,UHF42,205,4,Sunset Park,14.4,25.7,18.9,19.8,8.2,11.6,Non-Hodgkin's Lymphomas
2004-2008,UHF42,206,4,Borough Park,17.6,22.1,19.7,65,33.6,31.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,207,4,East Flatbush - Flatbush,13,21.3,16.2,48.8,23.6,25.2,Non-Hodgkin's Lymphomas
2004-2008,UHF42,208,4,Canarsie - Flatlands,15.4,23.3,18.5,37.8,18.4,19.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,209,4,Bensonhurst - Bay Ridge,14.2,20.9,17,44,21.6,22.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,210,4,Coney Island - Sheepshead Bay,18.4,26.6,22,84.2,41.6,42.6,Non-Hodgkin's Lymphomas
2004-2008,UHF42,211,4,Williamsburg - Bushwick,12.1,21.9,16,25.6,11.2,14.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,301,4,Washington Heights,14.3,24.6,18.8,48.4,21.2,27.2,Non-Hodgkin's Lymphomas
2004-2008,UHF42,302,4,Central Harlem - Morningside Heights,13.6,23.5,18,27.4,12,15.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,303,4,East Harlem,18.7,22,20.1,21.6,11.4,10.2,Non-Hodgkin's Lymphomas
2004-2008,UHF42,304,4,Upper West Side,20.7,34.1,26.3,66.6,30.2,36.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,305,4,Upper East Side,21.9,34,26.9,67.2,31,36.2,Non-Hodgkin's Lymphomas
2004-2008,UHF42,306,4,Chelsea - Clinton,16.6,30,24,34.8,12.4,22.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,307,4,Gramercy Park - Murray Hill,19.1,38.7,27.5,42.8,17,25.8,Non-Hodgkin's Lymphomas
2004-2008,UHF42,308,4,Greenwich Village - SoHo,17.5,24.9,21.6,20.2,8.6,11.6,Non-Hodgkin's Lymphomas
2004-2008,UHF42,309,4,Union Square - Lower East Side,15.1,26,20.1,44,19,25,Non-Hodgkin's Lymphomas
2004-2008,UHF42,310,4,Lower Manhattan,13.8,24,18.7,7.2,3,4.2,Non-Hodgkin's Lymphomas
2004-2008,UHF42,401,4,Long Island City - Astoria,14,19.8,16.5,35.8,16.8,19,Non-Hodgkin's Lymphomas
2004-2008,UHF42,402,4,West Queens,12.7,20.2,16,69.2,30,39.2,Non-Hodgkin's Lymphomas
2004-2008,UHF42,403,4,Flushing - Clearview,16,19.6,17.4,54.8,28.2,26.6,Non-Hodgkin's Lymphomas
2004-2008,UHF42,404,4,Bayside - Little Neck,18.1,26.6,21.6,26.8,12.8,14,Non-Hodgkin's Lymphomas
2004-2008,UHF42,405,4,Ridgewood - Forest Hills,16.4,20.6,18.2,56,29.6,26.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,406,4,Fresh Meadows,19.4,23.9,21.2,23.2,11.8,11.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,407,4,Southwest Queens,14.6,21.6,17.7,45.4,21,24.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,408,4,Jamaica,10.5,18.4,13.8,40,17.6,22.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,409,4,Southeast Queens,16.4,19.2,17.5,37.8,20.6,17.2,Non-Hodgkin's Lymphomas
2004-2008,UHF42,410,4,Rockaways,15.5,20.3,17.5,21.6,11.6,10,Non-Hodgkin's Lymphomas
2004-2008,UHF42,501,4,Port Richmond,15.1,19.4,16.7,9.8,4.8,5,Non-Hodgkin's Lymphomas
2004-2008,UHF42,502,4,Stapleton - St. George,18.1,22.1,19.8,25.6,13.2,12.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,503,4,Willowbrook,17.8,24.2,20,20.4,10,10.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,504,4,South Beach - Tottenville,23.7,29.7,26.3,53.2,25.8,27.4,Non-Hodgkin's Lymphomas
2004-2008,Borough,1,1,Bronx,16.8,24.5,20.2,247.2,118.6,128.6,Non-Hodgkin's Lymphomas
2004-2008,Borough,2,1,Brooklyn,15.8,23.1,18.9,448.2,217.4,230.8,Non-Hodgkin's Lymphomas
2004-2008,Borough,3,1,Manhattan,17.8,30.3,23.3,384,167.6,216.4,Non-Hodgkin's Lymphomas
2004-2008,Borough,4,1,Queens,15.3,21.2,17.8,411,201.6,209.4,Non-Hodgkin's Lymphomas
2004-2008,Borough,5,1,Staten Island,20.5,26.3,22.9,109.2,53.6,55.6,Non-Hodgkin's Lymphomas
2004-2008,Citywide,1,0,New York City,16.5,24.5,20,1599.6,758.8,840.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,101,4,Kingsbridge - Riverdale,17.3,24.9,20.8,25.2,13.4,11.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,102,4,Northeast Bronx,20.2,21.7,20.9,42.8,25,17.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,103,4,Fordham - Bronx Pk,19.2,26.2,22.4,45.8,22.2,23.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,104,4,Pelham - Throgs Neck,16.3,24.9,20,59,28.4,30.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,105,4,Crotona -Tremont,19.4,22.9,20.9,31.6,16.8,14.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,106,4,High Bridge - Morrisania,14.9,24.2,18.9,30.2,13.6,16.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,107,4,Hunts Point - Mott Haven,11.8,28.4,18.9,20.2,7,13.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,201,4,Greenpoint,12.9,16.4,14.5,16.2,8,8.2,Non-Hodgkin's Lymphomas
