Time,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2018,UHF42,405,4,Ridgewood - Forest Hills,"5* (2.4,10.1)",,"4.7* (2.4,9.1)"
2018,UHF42,406,4,Fresh Meadows,"2.5* (1.0,6.3)",,"2.3* (1.0,5.3)"
2018,UHF42,407,4,Southwest Queens,"2.3* (1.1,4.8)",,"2.5* (1.1,5.4)"
2018,UHF42,408,4,Jamaica,"1.6* (0.8,3.3)",,"1.7* (0.8,3.5)"
2018,UHF42,409,4,Southeast Queens,"1.5* (0.6,3.9)",,"1.5* (0.6,4.2)"
2018,UHF42,410,4,Rockaways,"9* (3.7,20.4)",,"8.9* (3.5,20.8)"
2018,UHF42,501,4,Port Richmond,"1* (0.3,3.2)",,"1.1* (0.3,3.9)"
2018,UHF42,502,4,Stapleton - St. George,"1* (0.3,3.2)",,"1.1* (0.3,3.9)"
2018,UHF42,503,4,Willowbrook,"3.5* (1.4,8.7)",,"3.5* (1.5,8.1)"
2018,UHF42,504,4,South Beach - Tottenville,"3.5* (1.4,8.7)",,"3.5* (1.5,8.1)"
2017,UHF42,101,4,Kingsbridge - Riverdale,-,,"3.4* (1.3,8.7)"
2017,UHF42,102,4,Northeast Bronx,"5.6* (2.7,11.2)",,"5.3* (2.6,10.4)"
2017,UHF42,103,4,Fordham - Bronx Pk,"8.1 (4.8,13.3)",,"8.2 (4.7,13.8)"
2017,UHF42,104,4,Pelham - Throgs Neck,"7.2 (4.7,11.0)",,"7.7 (5.0,11.6)"
2017,UHF42,105,4,Crotona -Tremont,"7 (4.8,10.1)",,"7.4 (5.0,10.9)"
2017,UHF42,106,4,High Bridge - Morrisania,"7 (4.8,10.1)",,"7.4 (5.0,10.9)"
2017,UHF42,107,4,Hunts Point - Mott Haven,"7 (4.8,10.1)",,"7.4 (5.0,10.9)"
2017,UHF42,201,4,Greenpoint,"1.7* (0.5,5.7)",,-
2017,UHF42,202,4,Downtown - Heights - Slope,"4.3* (2.3,8.0)",,"4.2* (2.1,8.2)"
2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,"7.5 (4.5,12.3)",,"7.6 (4.5,12.5)"
2017,UHF42,204,4,East New York,"3.6* (1.6,8.1)",,"3.7* (1.5,8.7)"
2017,UHF42,205,4,Sunset Park,"2.9* (1.3,6.2)",,"2.8* (1.3,5.9)"
2017,UHF42,206,4,Borough Park,"2.2* (1.1,4.7)",,"2.3* (1.1,4.8)"
2017,UHF42,207,4,East Flatbush - Flatbush,"4 (2.3,7.0)",,"4.3 (2.4,7.5)"
2017,UHF42,208,4,Canarsie - Flatlands,"3.8* (1.7,8.3)",,"4.4* (1.8,10.0)"
2017,UHF42,209,4,Bensonhurst - Bay Ridge,"2.2* (0.8,5.6)",,"2.2* (0.8,5.9)"
2017,UHF42,210,4,Coney Island - Sheepshead Bay,"2.5* (1.2,5.3)",,"2.9* (1.4,6.0)"
2017,UHF42,211,4,Williamsburg - Bushwick,"2.2* (1.0,4.6)",,"2* (0.9,4.1)"
2017,UHF42,301,4,Washington Heights,"7.2 (4.2,12.2)",,"7.7* (4.2,13.7)"
2017,UHF42,302,4,Central Harlem - Morningside Heights,"1.9* (0.9,3.9)",,"1.8* (0.9,3.8)"
2017,UHF42,303,4,East Harlem,"12.6* (4.8,29.5)",,-
2017,UHF42,304,4,Upper West Side,"1.1* (0.3,3.9)",,"1* (0.3,3.4)"
2017,UHF42,305,4,Upper East Side,"4.2 (2.4,7.2)",,"4 (2.2,7.1)"
2017,UHF42,306,4,Chelsea - Clinton,"3.7* (1.7,7.8)",,"3.3* (1.5,7.1)"
2017,UHF42,307,4,Gramercy Park - Murray Hill,"4.2 (2.4,7.2)",,"4 (2.2,7.1)"
2017,UHF42,308,4,Greenwich Village - SoHo,"3.7* (1.7,7.8)",,"3.3* (1.5,7.1)"
2017,UHF42,309,4,Union Square - Lower East Side,"5.1* (2.5,9.9)",,"5* (2.4,10.1)"
2017,UHF42,310,4,Lower Manhattan,"5.1* (2.5,9.9)",,"5* (2.4,10.1)"
2017,UHF42,401,4,Long Island City - Astoria,"5.4* (2.1,12.8)",,-
2017,UHF42,402,4,West Queens,"2.5 (1.4,4.3)",,"2.6 (1.5,4.4)"
2017,UHF42,403,4,Flushing - Clearview,"3.8* (1.6,8.6)",,"5.3* (2.3,11.7)"
2017,UHF42,404,4,Bayside - Little Neck,"1.9* (0.7,4.9)",,"2.2* (0.8,5.9)"
2017,UHF42,405,4,Ridgewood - Forest Hills,"4.8 (2.9,7.9)",,"4.7 (2.8,7.8)"
2017,UHF42,406,4,Fresh Meadows,"1.9* (0.7,4.9)",,"2.2* (0.8,5.9)"
2017,UHF42,407,4,Southwest Queens,"2.9* (1.5,5.4)",,"3* (1.5,5.9)"
2017,UHF42,408,4,Jamaica,"6* (2.6,13.0)",,"5.6* (2.4,12.6)"
2017,UHF42,409,4,Southeast Queens,-,,-
2017,UHF42,410,4,Rockaways,"7.4* (3.1,16.6)",,-
2017,UHF42,501,4,Port Richmond,"2* (0.7,5.6)",,"2* (0.7,5.3)"
2017,UHF42,502,4,Stapleton - St. George,"2* (0.7,5.6)",,"2* (0.7,5.3)"
2017,UHF42,503,4,Willowbrook,"1.4* (0.6,3.2)",,"1.3* (0.6,2.9)"
2017,UHF42,504,4,South Beach - Tottenville,"1.4* (0.6,3.2)",,"1.3* (0.6,2.9)"
2016,UHF42,101,4,Kingsbridge - Riverdale,"7.9* (3.3,17.8)",,-
2016,UHF42,102,4,Northeast Bronx,"5* (2.3,10.9)",,"5.7* (2.5,12.7)"
2016,UHF42,103,4,Fordham - Bronx Pk,"1.6* (0.7,3.6)",,"2* (0.9,4.3)"
